name,date,water_depth,water_level
BB Upland Well 1,2018-01-19,-0.2668182000972222,0.5631817999027777
BB Upland Well 1,2018-01-20,-0.274536913986111,0.5554630860138889
BB Upland Well 1,2018-01-21,-0.28987484824999993,0.5401251517500001
BB Upland Well 1,2018-01-22,-0.29366055875,0.53633944125
BB Upland Well 1,2018-01-23,-0.2102276348611113,0.6197723651388887
BB Upland Well 1,2018-01-24,-0.13636190340740784,0.6936380965925921
BB Upland Well 1,2018-01-25,-0.1976756370092596,0.6323243629907404
BB Upland Well 1,2018-01-26,-0.2311924407361109,0.5988075592638891
BB Upland Well 1,2018-01-27,-0.24020740286111128,0.5897925971388887
BB Upland Well 1,2018-01-28,-0.1565255681527782,0.6734744318472218
BB Upland Well 1,2018-01-29,-0.09370361674074122,0.7362963832592587
BB Upland Well 1,2018-01-30,-0.13503650345370422,0.6949634965462957
BB Upland Well 1,2018-01-31,-0.17279930795833376,0.6572006920416662
BB Upland Well 1,2018-02-01,-0.1883592437638893,0.6416407562361107
BB Upland Well 1,2018-02-02,-0.16149139211111146,0.6685086078888884
BB Upland Well 1,2018-02-03,-0.19126320332407432,0.6387367966759256
BB Upland Well 1,2018-02-04,-0.18554462772685193,0.6444553722731481
BB Upland Well 1,2018-02-05,-0.08407505226851844,0.7459249477314815
BB Upland Well 1,2018-02-06,-0.13916967410185188,0.6908303258981481
BB Upland Well 1,2018-02-07,-0.1463924547222224,0.6836075452777776
BB Upland Well 1,2018-02-08,-0.08815416831481525,0.7418458316851847
BB Upland Well 1,2018-02-09,-0.1418327484166671,0.6881672515833329
BB Upland Well 1,2018-02-10,-0.143681846584491,0.686318153415509
BB Upland Well 1,2018-02-11,-0.023288646092592905,0.806711353907407
BB Upland Well 1,2018-02-12,-0.07101461069444438,0.7589853893055556
BB Upland Well 1,2018-02-13,-0.09281502045833326,0.7371849795416667
BB Upland Well 1,2018-02-14,-0.10323705455555586,0.7267629454444441
BB Upland Well 1,2018-02-15,-0.10951010290277814,0.7204898970972218
BB Upland Well 1,2018-02-16,-0.11113728804629677,0.7188627119537032
BB Upland Well 1,2018-02-17,-0.12626549517592636,0.7037345048240736
BB Upland Well 1,2018-02-18,-0.06568728183333389,0.764312718166666
BB Upland Well 1,2018-02-19,-0.09103405115277814,0.7389659488472218
BB Upland Well 1,2018-02-20,-0.11360597823611122,0.7163940217638888
BB Upland Well 1,2018-02-21,-0.12978199487500044,0.7002180051249995
BB Upland Well 1,2018-02-22,-0.1395054499583333,0.6904945500416667
BB Upland Well 1,2018-02-23,-0.12865180520833325,0.7013481947916667
BB Upland Well 1,2018-02-24,-0.12237061326388922,0.7076293867361108
BB Upland Well 1,2018-02-25,-0.09330186594444481,0.7366981340555552
BB Upland Well 1,2018-02-26,-0.11529335518518552,0.7147066448148145
BB Upland Well 1,2018-02-27,-0.13737938096759247,0.6926206190324075
BB Upland Well 1,2018-02-28,-0.13658461308796316,0.6934153869120369
BB Upland Well 1,2018-03-01,-0.13796607403703723,0.6920339259629628
BB Upland Well 1,2018-03-02,-0.09369936790740724,0.7363006320925927
BB Upland Well 1,2018-03-03,-0.13040090826388911,0.6995990917361109
BB Upland Well 1,2018-03-04,-0.14507932917592628,0.6849206708240737
BB Upland Well 1,2018-03-05,-0.14862539367361152,0.6813746063263885
BB Upland Well 1,2018-03-06,-0.14886185305092653,0.6811381469490734
BB Upland Well 1,2018-03-07,-0.06556465578240761,0.7644353442175924
BB Upland Well 1,2018-03-08,-0.07811028038425971,0.7518897196157402
BB Upland Well 1,2018-03-09,-0.10298696350462974,0.7270130364953702
BB Upland Well 1,2018-03-10,-0.12013714320833342,0.7098628567916665
BB Upland Well 1,2018-03-11,-0.12957875901388854,0.7004212409861115
BB Upland Well 1,2018-03-12,-0.1314135468750001,0.6985864531249999
BB Upland Well 1,2018-03-13,-0.12007942988888917,0.7099205701111108
BB Upland Well 1,2018-03-14,-0.13501124650000013,0.6949887534999998
BB Upland Well 1,2018-03-15,-0.13931779315277798,0.6906822068472219
BB Upland Well 1,2018-03-16,-0.1494286002083334,0.6805713997916666
BB Upland Well 1,2018-03-17,-0.1509645534583332,0.6790354465416667
BB Upland Well 1,2018-03-18,-0.15491880101388875,0.6750811989861112
BB Upland Well 1,2018-03-19,-0.15688707305555546,0.6731129269444445
BB Upland Well 1,2018-03-20,-0.11742284684722218,0.7125771531527778
BB Upland Well 1,2018-03-21,-0.07324489412500029,0.7567551058749997
BB Upland Well 1,2018-03-22,-0.08101601029166648,0.7489839897083335
BB Upland Well 1,2018-03-23,-0.07311884540277816,0.7568811545972218
BB Upland Well 1,2018-03-24,-0.09383898929166692,0.7361610107083331
BB Upland Well 1,2018-03-25,-0.10981354041666697,0.7201864595833329
BB Upland Well 1,2018-03-26,-0.12093014074074095,0.709069859259259
BB Upland Well 1,2018-03-27,-0.12565897421759317,0.7043410257824068
BB Upland Well 1,2018-03-28,-0.1253111600000004,0.7046888399999995
BB Upland Well 1,2018-03-29,-0.13507533306944466,0.6949246669305553
BB Upland Well 1,2018-03-30,-0.14186426059722215,0.6881357394027778
BB Upland Well 1,2018-03-31,-0.15667002848611142,0.6733299715138885
BB Upland Well 1,2018-04-01,-0.15217263840277812,0.6778273615972219
BB Upland Well 1,2018-04-02,-0.1528970644861117,0.6771029355138882
BB Upland Well 1,2018-04-03,-0.15086293552777838,0.6791370644722216
BB Upland Well 1,2018-04-04,-0.14223213875000015,0.6877678612499998
BB Upland Well 1,2018-04-05,-0.16997206344444496,0.660027936555555
BB Upland Well 1,2018-04-06,-0.15905433212500047,0.6709456678749994
BB Upland Well 1,2018-04-07,-0.1670262056666671,0.6629737943333328
BB Upland Well 1,2018-04-08,-0.17266440750000053,0.6573355924999994
BB Upland Well 1,2018-04-09,-0.17452008545833383,0.6554799145416661
BB Upland Well 1,2018-04-10,-0.1701756533750005,0.6598243466249994
BB Upland Well 1,2018-04-11,-0.17199875694444502,0.658001243055555
BB Upland Well 1,2018-04-12,-0.16826084581944487,0.6617391541805551
BB Upland Well 1,2018-04-13,-0.18124457234722277,0.6487554276527772
BB Upland Well 1,2018-04-14,-0.19348475304166707,0.636515246958333
BB Upland Well 1,2018-04-15,-0.1898086860462968,0.6401913139537031
BB Upland Well 1,2018-04-16,-0.07633993316203759,0.7536600668379624
BB Upland Well 1,2018-04-17,-0.09784882575000033,0.7321511742499996
BB Upland Well 1,2018-04-18,-0.11805733929166705,0.7119426607083329
BB Upland Well 1,2018-04-19,-0.12684605104166727,0.7031539489583327
BB Upland Well 1,2018-04-20,-0.14516879072222252,0.6848312092777774
BB Upland Well 1,2018-04-21,-0.1490150470972219,0.680984952902778
BB Upland Well 1,2018-04-22,-0.15115964572222176,0.6788403542777782
BB Upland Well 1,2018-04-23,-0.15808949288888857,0.6719105071111114
BB Upland Well 1,2018-04-24,-0.15285068138888905,0.6771493186111109
BB Upland Well 1,2018-04-25,-0.10466135790740787,0.7253386420925921
BB Upland Well 1,2018-04-26,-0.14280407892592625,0.6871959210740737
BB Upland Well 1,2018-04-27,-0.10758538140277774,0.7224146185972222
BB Upland Well 1,2018-04-28,-0.11294457651388863,0.7170554234861113
BB Upland Well 1,2018-04-29,-0.13396296489814807,0.6960370351018519
BB Upland Well 1,2018-04-30,-0.1447459137824073,0.6852540862175927
BB Upland Well 1,2018-05-01,-0.15918533781944433,0.6708146621805556
BB Upland Well 1,2018-05-02,-0.17044864091666667,0.6595513590833333
BB Upland Well 1,2018-05-03,-0.18731827959722208,0.6426817204027779
BB Upland Well 1,2018-05-04,-0.20221150263888918,0.6277884973611108
BB Upland Well 1,2018-05-05,-0.2255372435694442,0.6044627564305557
BB Upland Well 1,2018-05-06,-0.21221892141666687,0.6177810785833331
BB Upland Well 1,2018-05-07,-0.22346239662500034,0.6065376033749996
BB Upland Well 1,2018-05-08,-0.24085782843055567,0.5891421715694443
BB Upland Well 1,2018-05-09,-0.24899941925925975,0.5810005807407402
BB Upland Well 1,2018-05-10,-0.2595211829166667,0.5704788170833333
BB Upland Well 1,2018-05-11,-0.2850122945462961,0.5449877054537039
BB Upland Well 1,2018-05-12,-0.30360743165277776,0.5263925683472221
BB Upland Well 1,2018-05-13,-0.12024023642824098,0.709759763571759
BB Upland Well 1,2018-05-14,-0.13005710683333338,0.6999428931666666
BB Upland Well 1,2018-05-15,-0.1699384268472221,0.6600615731527778
BB Upland Well 1,2018-05-16,-0.0924364317048613,0.7375635682951387
BB Upland Well 1,2018-05-17,-0.08956371877314814,0.7404362812268518
BB Upland Well 1,2018-05-18,-0.0538644309907408,0.7761355690092592
BB Upland Well 1,2018-05-19,-0.04559490306944481,0.7844050969305552
BB Upland Well 1,2018-05-20,-0.08162524578240776,0.7483747542175923
BB Upland Well 1,2018-05-21,-0.11880950081481502,0.711190499185185
BB Upland Well 1,2018-05-22,-0.13088421305555564,0.6991157869444443
BB Upland Well 1,2018-05-23,-0.10579768477777773,0.7242023152222222
BB Upland Well 1,2018-05-24,-0.15886101020833343,0.6711389897916665
BB Upland Well 1,2018-05-25,-0.18792798718055545,0.6420720128194445
BB Upland Well 1,2018-05-26,-0.21630134211111093,0.613698657888889
BB Upland Well 1,2018-05-27,-0.23211054280555563,0.5978894571944443
BB Upland Well 1,2018-05-28,-0.19489524768518557,0.6351047523148144
BB Upland Well 1,2018-05-29,-0.19083312697222246,0.6391668730277775
BB Upland Well 1,2018-05-30,-0.20845846787037076,0.6215415321296293
BB Upland Well 1,2018-05-31,-0.21238958288888882,0.6176104171111112
BB Upland Well 1,2018-06-01,-0.19800515763888887,0.6319948423611111
BB Upland Well 1,2018-06-02,-0.20541937180555564,0.6245806281944444
BB Upland Well 1,2018-06-03,-0.16658114037500046,0.6634188596249995
BB Upland Well 1,2018-06-04,-0.14088844520833346,0.6891115547916665
BB Upland Well 1,2018-06-05,-0.2041893345555555,0.6258106654444444
BB Upland Well 1,2018-06-06,-0.2502286303472221,0.5797713696527779
BB Upland Well 1,2018-06-07,-0.2757294198749998,0.5542705801250001
BB Upland Well 1,2018-06-08,-0.2966935176111111,0.5333064823888889
BB Upland Well 1,2018-06-09,-0.2587494295509259,0.571250570449074
BB Upland Well 1,2018-06-10,-0.12456041475462963,0.7054395852453703
BB Upland Well 1,2018-06-11,-0.07262798712963,0.7573720128703699
BB Upland Well 1,2018-06-12,-0.11364221134259272,0.7163577886574072
BB Upland Well 1,2018-06-13,-0.14632234897222218,0.6836776510277778
BB Upland Well 1,2018-06-14,-0.19007046138888917,0.6399295386111108
BB Upland Well 1,2018-06-15,-0.24036567190277774,0.5896343280972223
BB Upland Well 1,2018-06-16,-0.27669567538888884,0.5533043246111111
BB Upland Well 1,2018-06-17,-0.3091553457777777,0.5208446542222223
BB Upland Well 1,2018-06-18,-0.33762677794444423,0.4923732220555557
BB Upland Well 1,2018-06-19,-0.36164047580555575,0.4683595241944442
BB Upland Well 1,2018-06-20,-0.37807673348611115,0.4519232665138888
BB Upland Well 1,2018-06-21,-0.37271753837499993,0.457282461625
BB Upland Well 1,2018-06-22,-0.35656028741666673,0.4734397125833332
BB Upland Well 1,2018-06-23,-0.2728554322269819,0.5571445677730181
BB Upland Well 1,2018-06-24,-0.312547868127185,0.5174521318728149
BB Upland Well 1,2018-06-25,-0.29105631897453693,0.5389436810254631
BB Upland Well 1,2018-06-26,-0.3232150893472221,0.5067849106527779
BB Upland Well 1,2018-06-27,-0.34200874138888915,0.4879912586111108
BB Upland Well 1,2018-06-28,-0.3679545962083331,0.46204540379166686
BB Upland Well 1,2018-06-29,-0.44750196201388864,0.3824980379861113
BB Upland Well 1,2018-06-30,-0.4757177560416666,0.3542822439583334
BB Upland Well 1,2018-07-01,-0.5030128514907408,0.3269871485092592
BB Upland Well 1,2018-07-02,-0.5409987197453705,0.2890012802546295
BB Upland Well 1,2018-07-03,-0.5850434243333335,0.24495657566666648
BB Upland Well 1,2018-07-04,-0.6136288668611113,0.2163711331388887
BB Upland Well 1,2018-07-05,-0.6274152688194442,0.20258473118055575
BB Upland Well 1,2018-07-06,-0.6446000293055553,0.1853999706944447
