date,tmean_c,ppt_mm
2019-01-01,13.264167916666667,2
2019-01-02,5.658385208333334,0
2019-01-03,5.577205947916667,0.7
2019-01-04,4.652161104166667,1.5
2019-01-05,7.303137708333333,1.8
2019-01-06,7.243710182531677,0
2019-01-07,0.6942903205625,0
2019-01-08,6.729152212364038,3.2
2019-01-09,6.024657087396103,0.1
2019-01-10,1.2263670208333333,0
2019-01-11,-0.739725807819464,0
2019-01-12,-1.9452039770833334,0
2019-01-13,-1.5235150822124308,0
2019-01-14,-1.8565220844249788,3.4
2019-01-15,-2.6315217593012883,3.3
2019-01-16,-0.10460218749999997,2.2
2019-01-17,0.6440210592067668,0
2019-01-18,1.1805722212764396,2
2019-01-19,2.6708186145833333,4.5
2019-01-20,4.035902729166667,11.8
2019-01-21,-7.477945085809291,0
2019-01-22,-3.7570203728747034,0
2019-01-23,5.156279166666667,0
2019-01-24,10.114471125,24.6
2019-01-25,1.2115876875,0
2019-01-26,-1.1274474583333334,0
2019-01-27,2.5072543125,0
2019-01-28,0.11644960707143731,0
2019-01-29,1.0818296395833333,8.2
2019-01-30,-4.082145976468902,0
2019-01-31,-8.752572916666667,0
2019-02-01,-8.224115833333334,0
2019-02-02,-6.6485020229166665,4.5
2019-02-03,0.9374813041666666,0
2019-02-04,4.236762725632837,0
2019-02-05,7.691217562499999,0
2019-02-06,5.95918097099871,1.9
2019-02-07,7.917495512195559,0.1
2019-02-08,7.5170458289460935,0
2019-02-09,-0.10202224583333334,0
2019-02-10,-0.755290071689371,0
2019-02-11,0.42406546763715897,16.4
2019-02-12,2.928289289844901,25.1
2019-02-13,5.107300039143348,0.3
2019-02-14,5.467930262601931,0
2019-02-15,12.114001639950718,0.1
2019-02-16,5.462535616043294,0
2019-02-17,1.3495935249814803,6.3
2019-02-18,5.43868970422894,9.8
2019-02-19,1.6048986335416666,0
2019-02-20,0.5550453410917549,10
2019-02-21,7.02186625,0.5
2019-02-22,6.7477535416666665,0
2019-02-23,3.5229834374999998,5.3
2019-02-24,6.971751820105312,20.7
2019-02-25,6.251151343164019,0
2019-02-26,3.9389352916666667,0
2019-02-27,1.5194603217279756,0
2019-02-28,5.395412083333333,0
2019-03-01,1.2828225256272316,16.2
2019-03-02,2.582982708333333,3.1
2019-03-03,2.790018100313351,23.3
2019-03-04,2.406602604166667,0.6
2019-03-05,0.5658440758597971,0
2019-03-06,-2.987393533040388,0
2019-03-07,-0.42470733124232657,0
2019-03-08,0.9922048351164368,2.2
2019-03-09,3.5294491666666667,0.2
2019-03-10,8.45065625,18.1
2019-03-11,10.21635375,0
2019-03-12,6.249862923022749,0
2019-03-13,6.8368145973637855,0
2019-03-14,14.084580416666666,0
2019-03-15,19.318454519176914,0
2019-03-16,10.001357852517504,0
2019-03-17,4.980889926208249,0
2019-03-18,2.9980332497916664,0
2019-03-19,5.184941362415988,0
2019-03-20,6.189562270833333,0.9
2019-03-21,9.084443541666667,45.8
2019-03-22,7.765491347602426,8
2019-03-23,7.033788958333333,0
2019-03-24,9.743437692976823,0
2019-03-25,11.079910934096652,0
2019-03-26,6.739077089279409,0
2019-03-27,5.1118443563586995,0
2019-03-28,8.7845560625,0
2019-03-29,14.526190643243366,0
2019-03-30,17.54728838630253,0
2019-03-31,12.301063095191234,1.1
2019-04-01,5.08054840625,0
2019-04-02,5.639446068701601,0
2019-04-03,12.064321666666666,0
2019-04-04,12.388277291666666,0
2019-04-05,8.933549375,0
2019-04-06,13.619939030218305,0
2019-04-07,16.098722999957026,0
2019-04-08,20.45242787543102,4
2019-04-09,20.494647916666665,0.1
2019-04-10,15.264863333333333,0
2019-04-11,10.293559604666354,0
2019-04-12,17.063878186220688,1.9
2019-04-13,19.46429641931118,10.3
2019-04-14,21.063220833333332,0
2019-04-15,14.371030625,28.6
2019-04-16,13.128593452786703,0
2019-04-17,13.741622688838046,0
2019-04-18,20.618445833333332,0
2019-04-19,21.165697916666666,12.5
2019-04-20,19.677901250830434,12.9
2019-04-21,16.346172645230684,0
2019-04-22,16.844229389904456,0
2019-04-23,20.1649125,0
2019-04-24,19.636195833333332,0
2019-04-25,16.299154166666668,0
2019-04-26,16.132064009515066,17.9
2019-04-27,16.105900583921628,0
2019-04-28,15.180605646851907,0
2019-04-29,10.615237384761908,0
2019-04-30,18.07384745732635,0.1
2019-05-01,15.340610228208675,0
2019-05-02,20.57732806651699,3.3
2019-05-03,17.72835392535352,1.5
2019-05-04,19.260794839400727,0.4
2019-05-05,14.559754166666666,26.4
2019-05-06,17.116433260500592,0
2019-05-07,19.736506059523506,0
2019-05-08,18.160595923099322,0.5
2019-05-09,18.775040925807712,0.2
2019-05-10,21.485897916666666,1.8
2019-05-11,18.60118899832283,5.6
2019-05-12,12.027962712625772,2.6
2019-05-13,10.674641875,2.8
2019-05-14,12.140003249392942,0.5
2019-05-15,15.976412228103847,0.2
2019-05-16,17.942904507697943,0.2
2019-05-17,21.459270833333335,0.2
2019-05-18,21.24383173904634,0.1
2019-05-19,24.885222650293475,0.1
2019-05-20,25.99840625,0.1
2019-05-21,18.63316875,0.1
2019-05-22,18.16644976720413,0.1
2019-05-23,20.563910416666666,0.1
2019-05-24,23.348701286448904,0.1
2019-05-25,20.636692641620353,0
2019-05-26,24.89895106536512,0.1
2019-05-27,23.587160416666666,0.1
2019-05-28,23.433733333333333,0.1
2019-05-29,25.941358333333334,0.2
2019-05-30,24.217829166666668,0.1
2019-05-31,23.986387630101937,0
2019-06-01,23.514504166666665,0
2019-06-02,23.240691666666667,0.1
2019-06-03,18.976384786770115,0
