wetland,area,depth,catchment,profile,rtp,shape
AB,707,0.6648159027099609,5.5770862800565775,2.0118974524885687,-0.5434106588363647,1.1564100545209632
AC,958,0.29756641387939453,7.640918580375783,1.1349759988491015,-1.020679235458374,1.266855594710348
AI,544,0.48508453369140625,7.764705882352941,2.2640276192416264,-0.8718945980072021,1.1489978695506553
AJ,144,0.20523452758789065,29.77777777777778,1.5198125490750638,-0.4965367317199707,1.0343475698375533
AN,1225,0.6357517242431641,9.5534693877551,1.926996964129804,-0.909033477306366,1.1928579766438274
BB,474,0.6629114151000977,6.755274261603376,1.6943242320495024,-0.8890051245689392,1.0495204760095025
DB,592,1.1019716262817385,3.133445945945946,1.630878819996046,-0.8369966745376587,1.0202741580183063
DK,874,0.5963163375854492,3.7700228832951943,1.2597344692756545,-1.329627275466919,1.2309178283802653
GN,1107,0.587890625,5.30442637759711,3.1676050713617325,-1.4647125005722046,1.051339405740064
JA,677,0.3158912658691406,9.51698670605613,1.0756817369595664,-0.8269506096839905,1.1492290590940846
JB,2240,0.4729042053222656,4.979464285714286,3.952230143764819,-0.99446040391922,1.0847819414452389
JC,676,0.3081817626953125,9.001479289940828,2.488456218185989,-1.0325400829315186,1.0524305693102376
JR,895,0.4719581604003906,11.252513966480448,0.8009059924788808,-0.7331761717796326,1.2352499528571246
NB,543,0.4258575439453125,9.031307550644566,1.4359540167045386,-0.525929868221283,1.1500553919738223
ND,1331,0.9607810974121094,2.9263711495116453,3.870963379895342,-1.1652655601501465,1.0206573595935151
QB,617,0.4351806640625,7.116693679092384,2.714144718401734,-0.866822361946106,1.0221037823289654
TA,1245,1.0704755783081057,5.1493975903614455,2.021533855212422,-0.7064594626426697,1.0713100785490783
TB,1804,0.8942346572875977,3.967849223946785,1.385754887931465,-0.8837993741035461,1.082590983744283
TC,1020,0.8092832565307617,5.530392156862746,1.199806239270535,-0.4806614220142365,1.1040913187338106
