dep_id,s,p,rmse,rmse_pct,rmse80,rmse80_pct,n
2,3219.3475710005655,0.8957391038182525,66.72352442322023,2.106836893691829,69.24146745856439,3.206320250995686,6
4,112.832110330771,1.50102671230719,1.600276454975,1.4288182633705357,1.7842955030687027,2.3533477279044117,4
7,1688.1396152140464,0.6077082036780095,30.58558681865827,1.8205706439677543,33.95267761670527,4.426278844957782,5
10,5498.2319980811635,1.0356585868562702,77.03742188536032,1.4282058191575884,74.86934550704332,2.13636777274987,11
11,579.9655037178688,1.0295525236010288,19.865374941061795,3.2835330481093874,19.073354316262503,6.428923929146212,9
12,1050.327708324452,1.3956260392751354,11.82909345184288,1.1330549283374407,12.841313862128956,1.6802689562276818,5
13,3935.1272005234587,1.342199913073112,58.15129681714592,1.4914413135969715,61.618609707510664,2.011459592429814,6
14,2412.0188302216366,1.2977618825319905,50.33574507371503,2.092962373127444,56.16754441612606,3.2706786922491897,5
15,267.9527138378587,1.761565656673537,3.304423964836621,1.2422646484348199,3.6452608331449303,1.8990942326647247,4
17,5832.0060225505595,1.1146577362520764,180.13856622373717,3.27822686485418,158.99892865834536,4.209828610042934,12
18,426.61950143802005,1.223128552779301,14.309340184441714,3.490082971815052,9.271574132553475,5.339306038970789,9
24,323.4456986800019,1.3059637694943218,7.886151611322056,2.433997410901869,8.812628527154025,3.884803749419732,5
25,3324.74569887983,1.1985585935030059,83.12235902459149,2.5694701398637245,87.2974643341003,3.6171609671275666,10
26,1498.6377342703224,1.0613222752113713,95.07969105076339,7.186673548810536,88.33416493828175,7.883888146829468,13
27,3913.927814274893,2.326017913754687,151.1464504274415,3.9330327980078454,165.43063930832034,4.842885306870922,10
28,357.10323358497317,0.9429947093547848,16.050337697801403,4.26870683452165,15.601368716345888,6.829930935234639,8
29,3821.5619909608354,1.0523079177789783,102.74065709293997,2.72016566303786,85.62746512196188,4.596897409080088,10
30,1040.9036306245137,1.083949546865799,30.554972306471367,2.8213270827766728,28.527546453500676,4.243746153676579,8
31,1272.4198519711983,1.3787508481168478,18.584145027775158,1.4406313975019502,18.723178784568688,1.886715231246209,8
33,1172.7793702387917,1.926996964129804,30.16257273836867,2.5626654832938547,31.989521364328326,3.201971628276929,13
35,675.4016783687276,1.0756817369595664,15.670249405027402,2.3458457193154794,16.653889296679022,3.0907789753505726,7
36,236.77071633852609,1.0852349149632077,11.929270784382243,4.949904889785163,13.556587150401002,12.172725290185962,4
37,1496.9549703510174,2.415927726234702,51.62087517148785,3.2404818061197647,46.602110573715365,4.08070159458402,13
38,945.1611120484879,2.1770556765526354,19.323481628617962,2.1234595196283474,17.676297454041524,2.3738920919678086,13
40,3335.7233419007434,2.5436386043467714,106.51654940245362,3.006394281751443,96.27899500219182,3.8439750776778645,12
41,662.7366536794532,2.488456218185989,17.49397136401675,2.662704926029947,18.74995130285802,3.0962781175250886,7
42,2071.6954968813347,3.952230143764819,51.41683693576915,2.4004125553580367,51.80177493712102,2.866044422283676,10
43,528.9629577930026,0.8374446120751919,7.017478412324371,1.3215590230366048,7.779387433855316,2.6886890468675753,5
45,565.6536599901909,1.4359540167045386,15.074220441413622,2.8018997102999297,9.546978613036899,3.8066213235892987,9
46,818.3248990503043,1.2513424558093427,37.95429045486011,5.0877064952895585,34.43902655805127,6.325715075810018,14
47,890.3850678617266,1.347465324239502,7.778748802233501,0.8759852254767455,7.391982848062511,1.3139778382151186,14
49,342.6697616770517,1.373846971898675,9.774229537218968,2.8006388358793606,10.459515978355496,4.5461532731251015,5
51,1813.4080562731328,2.355003595822868,61.7185709426047,3.1473009149721927,50.078322246181266,4.161737757424457,13
52,2412.2002117461193,1.7726292002807025,57.86381506126965,2.3417165140133407,62.78969563966836,3.1828281111809487,20
