dep_id,root_id,root,leaf,site,level,area,depth,merge_elev,perimeter,p_a_ratio,shape_index,a_axis,b_axis,orientation,med_merge_perim_elev,mean_elev,min_elev,mean_depth,max_depth,max_merge_depth,med_merge_perim_depth,volume,mean_diff,mean_dev,mean_slope,med_perim_depth,catch_area,catch_min_elev,catch_max_elev,catch_mean_elev,catch_sd_elev,catch_mean_slope,p
1,98,TRUE,FALSE,BC,0,15684,0.42882537841796875,NA,1059,0.06752104055087987,2.38540766966543,220.42380691564287,134.19109256276127,55.2281,NA,19.884774524865787,19.619426727294922,0.16347758084710415,0.42882537841796875,NA,NA,2563.9823780059814,-0.06578236073255539,-0.09800682216882706,0.8937644958496094,0.3624401092529297,4.097300000000001,19.619426727294922,21.84471321105957,20.347469663933055,0.526054982136545,1.5656260251998901,NA
2,98,FALSE,TRUE,BC,1,4086,0.2973518371582031,19.962487030029298,295,0.07219774840920215,1.301870849802644,85,67,140.286,19.98186683654785,19.859331151520685,19.665071487426758,0.10309217306427435,0.2973518371582031,0.3831806182861328,0.31679534912109375,421.234619140625,-0.21457158029079437,-0.3000686764717102,0.7928297519683838,0.28412818908691406,1.1887,19.665071487426758,21.84471321105957,20.42076595707859,0.5966118690515633,1.7142508029937744,0.8957391038182525
3,98,FALSE,FALSE,BC,1,8848,0.342987060546875,19.962487030029298,741,0.08374773960216998,2.2222387638673697,135.539418693765,124.17730737016188,130.344,19.98186683654785,19.86882091172134,19.619426727294922,0.09359287612045868,0.342987060546875,0.42882537841796875,0.3624401092529297,828.1097679138184,-0.028479836881160736,-0.03926009312272072,0.8669686913490295,0.33150291442871094,2.7797,19.619426727294922,21.824853897094727,20.320460564790753,0.4999596935707375,1.4857217073440552,NA
4,98,FALSE,TRUE,BC,1,155,0.18660354614257812,19.962487030029298,76,0.49032258064516127,1.7220383189498347,36.68783832707898,8.180735494794812,67.2161,19.98186683654785,19.885688670989005,19.775867462158203,0.07678233731177546,0.18660354614257812,0.2723846435546875,0.20599937438964844,11.901262283325195,-0.26976919174194336,-0.3932746350765228,3.312631607055664,0.1448535919189453,0.1091,19.775867462158203,20.6521053314209,20.25440564666944,0.23323943927982102,1.9430850744247437,1.50102671230719
5,98,FALSE,FALSE,BC,2,6265,0.3001670837402344,19.9196044921875,604,0.09640861931364725,2.152640311982098,106.06601717798213,103.94469683442249,134.392,19.98186683654785,19.842944596542516,19.619426727294922,0.07664921449263953,0.3001670837402344,0.42882537841796875,0.3624401092529297,480.2073287963867,-0.043249234557151794,-0.05216895416378975,0.8866044878959656,0.2875232696533203,2.5734,19.619426727294922,21.824853897094727,20.342370401852204,0.510163812690225,1.5266791582107544,NA
6,98,FALSE,TRUE,BC,2,386,0.12187004089355469,19.9196044921875,96,0.24870466321243523,1.3783916979482567,28.67508106234347,23.7593528805965,141.78,19.98186683654785,19.881851428530993,19.797313690185547,0.037332302548107085,0.12187004089355469,0.25093841552734375,0.1845531463623047,14.410268783569336,-0.16130225360393524,-0.21308636665344238,0.7419722676277161,0.10973930358886719,0.20620000000000002,19.797313690185547,21.120357513427734,20.046616722610132,0.2003631383576292,0.9746142625808716,NA
7,98,FALSE,TRUE,BC,3,2079,0.214385986328125,19.833839416503906,353,0.1697931697931698,2.183949182486401,87.02226929972086,58.7599910131702,146.802,19.98186683654785,19.78453976721532,19.619426727294922,0.049272946407727294,0.214385986328125,0.42882537841796875,0.3624401092529297,102.43845558166504,-0.10442323982715607,-0.11518903076648712,0.8339995741844177,0.20375347137451172,2.2727,19.619426727294922,21.824853897094727,20.338528837935044,0.5206662765853415,1.4985694885253906,0.6077082036780095
8,98,FALSE,TRUE,BC,3,86,0.14316177368164062,19.833839416503906,51,0.5930232558139535,1.551372248864413,23.695959915573685,6.591290000037094,60.4866,19.98186683654785,19.772678330887196,19.690656661987305,0.06114010478174964,0.14316177368164062,0.35759544372558594,0.2912101745605469,5.258049011230469,-0.23514676094055176,-0.2790609300136566,3.0943377017974854,0.10656166076660156,0.0946,19.690656661987305,21.319345474243164,20.386983064970053,0.45873733043924575,1.750372052192688,NA
9,125,TRUE,FALSE,BC,0,12756,0.8658161163330078,NA,532,0.04170586390718094,1.3287688698695346,147.65993665714365,147.2950626826298,43.2674,NA,19.54609631206145,19.039796829223633,0.3595166334951885,0.8658161163330078,NA,NA,4585.994176864624,-0.6244193315505981,-1.0826741456985474,1.3549485206604004,0.8274335861206055,3.4625000000000004,19.039796829223633,21.49245834350586,20.069410699341702,0.5016500668006173,1.4379335641860962,NA
10,125,FALSE,TRUE,BC,1,5678,0.519378662109375,19.559286499023436,355,0.06252201479394152,1.3290022828826789,139.66756156842638,73.51687470413684,148.444,19.86723041534424,19.37609639391172,19.039796829223633,0.18307909742128936,0.519378662109375,0.8658161163330078,0.8274335861206055,1039.523115158081,-0.8065837621688843,-1.380690336227417,1.1936428546905518,0.5037326812744141,2.758,19.039796829223633,21.49245834350586,20.063734498138096,0.5128575477454773,1.3907828330993652,1.0356585868562702
11,125,FALSE,TRUE,BC,1,844,0.4438037872314453,19.559286499023436,132,0.15639810426540285,1.281733619496139,42.15160591794108,32.10198125505498,51.358,19.86723041534424,19.426173818054924,19.11542320251465,0.13305317169117137,0.4438037872314453,0.7901897430419922,0.7518072128295898,112.29687690734863,-0.6965937614440918,-1.2823131084442139,1.7907253503799438,0.4255828857421875,0.7044,19.11542320251465,21.38163948059082,20.091471252625535,0.45431149201955,1.6226263046264648,1.0295525236010288
