wetland,zone,n_cores,sd_core,c_stock_0_100_est,c_stock_0_100_lci,c_stock_0_100_uci
DF,A,3,1.5900917913133663,49.40182383171555,47.60249864479372,51.20114901863737
DF,B,3,3.945671936081428,14.020224284305982,9.55535821009153,18.485090358520434
DF,C,3,5.384195074068614,24.69632628794071,18.60364795264147,30.78900462323995
FN,A,3,0.2717464901029868,17.215055732732136,16.907551281246324,17.522560184217948
FN,B,3,1.7183046652680352,19.02794809835752,17.08353905234368,20.972357144371358
FN,C,3,4.446550084895363,27.980568789193857,22.948916147271074,33.012221431116636
FR,A,3,3.38716008126414,24.290806067810465,20.457944040819676,28.123668094801253
FR,B,3,3.401046841044327,28.062855237879518,24.21427915162893,31.911431324130106
FR,C,3,3.2023308404713684,25.305355984801935,21.681644089932377,28.929067879671493
GR,A,3,3.818513480264044,18.635303883373652,14.314328503729307,22.956279263017997
GR,B,3,2.582875414532627,24.732640778559702,21.809895806578503,27.6553857505409
GR,C,3,0.6873147190942709,16.439425808368465,15.661670277420818,17.217181339316113
JU,A,3,3.2821249226582387,43.349561086658106,39.635555346722185,47.06356682659403
JU,B,3,2.9309194240755208,45.312226055707214,41.995639447696604,48.628812663717824
JU,C,3,4.4980110304921,30.57991166750305,25.49002655368093,35.66979678132517
SR,A,2,7.584767403977586,15.741775502337376,5.230017350362065,26.253533654312687
SR,B,3,1.2737510593587904,19.382344609167085,17.940986081632268,20.8237031367019
SR,C,3,0.7678234394988602,10.916308040096036,10.047449989669827,11.785166090522244
